Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
121	Spectrogram 1	1	924.078000	924.410000	4000.000000	18000.000000	8000.000000	Trill	12.139789	-36.102645	68.333584	0
122	Spectrogram 1	1	946.860000	947.102000	4000.000000	18000.000000	8000.000000	Trill	10.006276	-35.605919	68.702443	0
123	Spectrogram 1	1	959.646000	960.038000	4000.000000	18000.000000	8000.000000	Trill	13.103129	-32.502609	109.010180	0
124	Spectrogram 1	1	963.786000	964.136000	4000.000000	18000.000000	8000.000000	Trill	11.219090	-35.625904	68.645821	0
125	Spectrogram 1	1	964.272000	965.144000	4000.000000	18000.000000	8000.000000	Trillphee	13.524187	-26.272838	126.800580	0
126	Spectrogram 1	1	985.140000	985.250000	4000.000000	18000.000000	8000.000000	Trill	10.542399	-35.082848	54.634191	0
127	Spectrogram 1	1	986.472000	986.912000	4000.000000	18000.000000	8000.000000	Trill	6.977438	-35.692729	50.699050	0
128	Spectrogram 1	1	995.688000	995.876000	4000.000000	18000.000000	8000.000000	Trill	12.881767	-34.495033	88.497106	0
129	Spectrogram 1	1	998.808000	998.858000	4000.000000	18000.000000	8000.000000	Twitter	5.045589	-28.656792	58.714323	0
130	Spectrogram 1	1	998.940000	998.990000	4000.000000	18000.000000	8000.000000	Twitter	4.413646	-26.379861	50.772837	1
131	Spectrogram 1	1	999.060000	999.122000	4000.000000	18000.000000	8000.000000	Twitter	4.545272	-27.629458	58.889015	1
132	Spectrogram 1	1	999.180000	999.242000	4000.000000	18000.000000	8000.000000	Twitter	4.709451	-26.923373	58.734468	1
133	Spectrogram 1	1	999.306000	999.368000	4000.000000	18000.000000	8000.000000	Twitter	4.543573	-30.500896	51.190690	1
134	Spectrogram 1	1	1004.122000	1004.508000	4000.000000	18000.000000	8000.000000	Trill	11.141414	-35.303177	82.633612	0
135	Spectrogram 1	1	1009.114000	1009.188000	4000.000000	18000.000000	8000.000000	Twitter	4.092388	-29.637164	48.908733	1
136	Spectrogram 1	1	1009.252000	1009.332000	4000.000000	18000.000000	8000.000000	Twitter	4.041772	-26.409052	56.947582	1
137	Spectrogram 1	1	1009.396000	1009.464000	4000.000000	18000.000000	8000.000000	Twitter	5.002831	-25.578467	51.857776	0
138	Spectrogram 1	1	1009.534000	1009.596000	4000.000000	18000.000000	8000.000000	Twitter	5.941003	-25.297673	49.156188	0
