Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
150	Spectrogram 1	2	559.742000	559.846000	4000.000000	18000.000000	8000.000000	Twitter	6.039646	-24.667038	0
151	Spectrogram 1	2	559.880000	560.002000	4000.000000	18000.000000	8000.000000	Twitter	5.694114	-26.415313	0
152	Spectrogram 1	2	560.006000	560.134000	4000.000000	18000.000000	8000.000000	Twitter	5.622404	-26.541305	0
153	Spectrogram 1	2	560.138000	560.254000	4000.000000	18000.000000	8000.000000	Twitter	6.126247	-26.671966	0
154	Spectrogram 1	2	560.264000	560.350000	4000.000000	18000.000000	8000.000000	Twitter	7.920743	-25.003761	0
155	Spectrogram 1	2	560.402000	560.470000	4000.000000	18000.000000	8000.000000	Trill	8.818960	-30.427646	0
156	Spectrogram 1	2	616.764000	617.072000	4000.000000	18000.000000	8000.000000	Trill	10.430400	-33.194112	0
157	Spectrogram 1	2	617.868000	618.230000	4000.000000	18000.000000	8000.000000	Trill	11.095323	-34.619442	0
158	Spectrogram 1	2	618.354000	619.130000	4000.000000	18000.000000	8000.000000	Trillphee	5.354080	-23.997641	0
159	Spectrogram 1	2	627.510000	627.614000	4000.000000	18000.000000	8000.000000	Trill	15.277301	-33.674226	0
160	Spectrogram 1	2	644.994000	645.350000	4000.000000	18000.000000	8000.000000	Trill	13.679506	-31.887499	0
161	Spectrogram 1	2	647.076000	647.150000	4000.000000	18000.000000	8000.000000	Twitter	5.401990	-25.228778	0
162	Spectrogram 1	2	647.214000	647.312000	4000.000000	18000.000000	8000.000000	Twitter	6.123976	-25.045930	0
163	Spectrogram 1	2	647.346000	647.432000	4000.000000	18000.000000	8000.000000	Twitter	6.851398	-24.119653	0
164	Spectrogram 1	2	647.472000	647.570000	4000.000000	18000.000000	8000.000000	Twitter	6.732375	-24.982113	0
165	Spectrogram 1	2	647.610000	647.678000	4000.000000	18000.000000	8000.000000	Twitter	8.087328	-24.026271	0
166	Spectrogram 1	2	647.724000	647.828000	4000.000000	18000.000000	8000.000000	Twitter	7.484453	-26.983965	0
167	Spectrogram 1	2	647.874000	647.948000	4000.000000	18000.000000	8000.000000	Twitter	9.341663	-30.208406	0
168	Spectrogram 1	2	651.258000	651.518000	4000.000000	18000.000000	8000.000000	Trill	12.340375	-34.329958	0
169	Spectrogram 1	2	653.640000	653.930000	4000.000000	18000.000000	8000.000000	Trill	14.541190	-32.468913	0
170	Spectrogram 1	2	655.644000	655.844000	4000.000000	18000.000000	8000.000000	Trill	11.227006	-28.853583	0
171	Spectrogram 1	2	655.944000	656.990000	4000.000000	18000.000000	8000.000000	Phee	9.399407	-20.695642	0
172	Spectrogram 1	2	680.184000	680.432000	4000.000000	18000.000000	8000.000000	Trill	14.106071	-32.297111	0
173	Spectrogram 1	2	687.558000	687.848000	4000.000000	18000.000000	8000.000000	Trill	14.461417	-31.711523	0
174	Spectrogram 1	2	691.686000	691.976000	4000.000000	18000.000000	8000.000000	Trill	5.118295	-34.112049	0
175	Spectrogram 1	2	703.894000	704.052000	4000.000000	18000.000000	8000.000000	Trill	16.100897	-30.156451	0
176	Spectrogram 1	2	710.020000	710.382000	4000.000000	18000.000000	8000.000000	Trill	15.136263	-32.627557	0
177	Spectrogram 1	2	711.832000	712.038000	4000.000000	18000.000000	8000.000000	Trill	13.163093	-32.787097	0
178	Spectrogram 1	2	717.682000	717.786000	4000.000000	18000.000000	8000.000000	Trill	7.013781	-31.646136	0
179	Spectrogram 1	2	719.590000	720.876000	4000.000000	18000.000000	8000.000000	Trillphee	8.636187	-19.908564	0
180	Spectrogram 1	2	720.916000	720.984000	4000.000000	18000.000000	8000.000000	Phee	9.612414	-32.228107	0
181	Spectrogram 1	2	735.940000	736.116000	4000.000000	18000.000000	8000.000000	Trill	10.493555	-29.254840	0
182	Spectrogram 1	2	738.382000	738.624000	4000.000000	18000.000000	8000.000000	Trill	10.504957	-28.729854	0
183	Spectrogram 1	2	740.902000	741.132000	4000.000000	18000.000000	8000.000000	Trill	9.611526	-30.831902	0
184	Spectrogram 1	2	742.552000	742.866000	4000.000000	18000.000000	8000.000000	Trill	11.836736	-30.572297	0
185	Spectrogram 1	2	745.018000	745.140000	4000.000000	18000.000000	8000.000000	Trill	9.354676	-31.528004	0
186	Spectrogram 1	2	791.248000	791.562000	4000.000000	18000.000000	8000.000000	Trill	9.069694	-32.063257	0
187	Spectrogram 1	2	794.620000	794.808000	4000.000000	18000.000000	8000.000000	Trill	9.882136	-34.822896	0
188	Spectrogram 1	2	795.052000	795.174000	4000.000000	18000.000000	8000.000000	Phee	5.849760	-31.248768	0
189	Spectrogram 1	2	815.288000	815.464000	4000.000000	18000.000000	8000.000000	Trill	19.340614	-30.693449	0
190	Spectrogram 1	2	821.018000	821.206000	4000.000000	18000.000000	8000.000000	Trill	7.069890	-34.707617	0
191	Spectrogram 1	2	821.588000	821.740000	4000.000000	18000.000000	8000.000000	Phee	14.831113	-25.926568	0
192	Spectrogram 1	2	821.804000	821.872000	4000.000000	18000.000000	8000.000000	Phee	9.157370	-26.329770	0
193	Spectrogram 1	2	821.936000	821.998000	4000.000000	18000.000000	8000.000000	Phee	10.092490	-27.537435	0
194	Spectrogram 1	2	822.098000	822.160000	4000.000000	18000.000000	8000.000000	Phee	5.937035	-30.434542	0
195	Spectrogram 1	2	824.906000	825.172000	4000.000000	18000.000000	8000.000000	Trill	9.267230	-33.541205	0
196	Spectrogram 1	2	827.774000	827.992000	4000.000000	18000.000000	8000.000000	Trill	14.540206	-29.475097	0
197	Spectrogram 1	2	831.818000	832.102000	4000.000000	18000.000000	8000.000000	Trill	13.132680	-32.813601	0
198	Spectrogram 1	2	832.862000	832.942000	4000.000000	18000.000000	8000.000000	Twitter	6.581821	-26.559507	0
199	Spectrogram 1	2	833.024000	833.098000	4000.000000	18000.000000	8000.000000	Twitter	6.285450	-23.384011	0
200	Spectrogram 1	2	836.768000	837.052000	4000.000000	18000.000000	8000.000000	Trill	12.967492	-34.228211	0
201	Spectrogram 1	2	849.542000	849.826000	4000.000000	18000.000000	8000.000000	Trill	15.368068	-30.472515	0
202	Spectrogram 1	2	852.836000	853.132000	4000.000000	18000.000000	8000.000000	Trill	13.553272	-30.943566	0
203	Spectrogram 1	2	858.470000	858.676000	4000.000000	18000.000000	8000.000000	Trill	9.987322	-33.363898	0
204	Spectrogram 1	2	860.834000	861.046000	4000.000000	18000.000000	8000.000000	Trill	16.524270	-27.246497	0
205	Spectrogram 1	2	861.080000	861.250000	4000.000000	18000.000000	8000.000000	Phee	16.719495	-27.516507	0
206	Spectrogram 1	2	861.284000	861.388000	4000.000000	18000.000000	8000.000000	Phee	12.938293	-22.412324	0
207	Spectrogram 1	2	861.410000	861.970000	4000.000000	18000.000000	8000.000000	Phee	18.638720	-19.404979	0
208	Spectrogram 1	2	862.010000	862.090000	4000.000000	18000.000000	8000.000000	Phee	18.107701	-21.699630	0
209	Spectrogram 1	2	867.332000	867.586000	4000.000000	18000.000000	8000.000000	Trill	10.177429	-28.817892	0
210	Spectrogram 1	2	867.632000	868.750000	4000.000000	18000.000000	8000.000000	Phee	13.609910	-20.312657	0
211	Spectrogram 1	2	882.266000	882.382000	4000.000000	18000.000000	8000.000000	Trill	6.391533	-33.009478	0
212	Spectrogram 1	2	882.452000	882.484000	4000.000000	18000.000000	8000.000000	Trill	7.767767	-36.532133	0
213	Spectrogram 1	2	884.678000	884.872000	4000.000000	18000.000000	8000.000000	Trill	10.490175	-32.721402	0
214	Spectrogram 1	2	893.366000	893.440000	4000.000000	18000.000000	8000.000000	Twitter	5.108683	-21.715846	0
215	Spectrogram 1	2	900.066000	900.344000	4000.000000	18000.000000	8000.000000	Trill	13.593994	-34.727984	0
216	Spectrogram 1	2	907.134000	907.238000	4000.000000	18000.000000	8000.000000	Trill	12.121619	-32.775881	0
217	Spectrogram 1	2	908.520000	908.810000	4000.000000	18000.000000	8000.000000	Trill	13.438486	-32.241711	0
218	Spectrogram 1	2	909.060000	909.248000	4000.000000	18000.000000	8000.000000	Phee	12.582383	-24.250531	0
219	Spectrogram 1	2	909.300000	909.374000	4000.000000	18000.000000	8000.000000	Phee	4.047328	-32.754664	1
220	Spectrogram 1	2	909.474000	909.560000	4000.000000	18000.000000	8000.000000	Phee	11.310577	-25.585679	0
221	Spectrogram 1	2	912.012000	912.236000	4000.000000	18000.000000	8000.000000	Trill	13.432710	-32.695166	0
222	Spectrogram 1	2	913.014000	913.070000	4000.000000	18000.000000	8000.000000	Twitter	7.407744	-25.826142	0
223	Spectrogram 1	2	913.164000	913.232000	4000.000000	18000.000000	8000.000000	Twitter	6.396163	-22.343421	0
224	Spectrogram 1	2	913.290000	913.364000	4000.000000	18000.000000	8000.000000	Twitter	8.027316	-22.366625	0
225	Spectrogram 1	2	913.422000	913.490000	4000.000000	18000.000000	8000.000000	Twitter	8.466189	-21.618649	0
226	Spectrogram 1	2	913.554000	913.616000	4000.000000	18000.000000	8000.000000	Twitter	8.701267	-21.428567	0
227	Spectrogram 1	2	913.668000	913.742000	4000.000000	18000.000000	8000.000000	Twitter	8.936907	-22.367009	0
228	Spectrogram 1	2	913.782000	913.868000	4000.000000	18000.000000	8000.000000	Twitter	8.592373	-23.904824	0
229	Spectrogram 1	2	913.914000	914.018000	4000.000000	18000.000000	8000.000000	Twitter	8.032575	-25.272428	0
230	Spectrogram 1	2	914.040000	914.114000	4000.000000	18000.000000	8000.000000	Twitter	11.831052	-24.190509	0
231	Spectrogram 1	2	928.788000	928.988000	4000.000000	18000.000000	8000.000000	Trill	14.835667	-32.756469	0
232	Spectrogram 1	2	948.210000	948.338000	4000.000000	18000.000000	8000.000000	Phee	4.472583	-26.069158	1
233	Spectrogram 1	2	954.132000	954.320000	4000.000000	18000.000000	8000.000000	Trill	13.449200	-33.277495	0
234	Spectrogram 1	2	956.118000	956.348000	4000.000000	18000.000000	8000.000000	Trill	9.291420	-31.625308	0
235	Spectrogram 1	2	957.834000	958.076000	4000.000000	18000.000000	8000.000000	Trill	14.162510	-25.164508	0
