Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
89	Spectrogram 1	3	399.060000	399.158000	4000.000000	18000.000000	8000.000000	Trill	9.094308	-38.525090	1
90	Spectrogram 1	3	399.624000	399.974000	4000.000000	18000.000000	8000.000000	Phee	12.167792	-24.364375	0
91	Spectrogram 1	3	402.094000	402.168000	4000.000000	18000.000000	8000.000000	Trill	10.428638	-33.267984	1
92	Spectrogram 1	3	402.244000	402.324000	4000.000000	18000.000000	8000.000000	Trill	10.348817	-33.849452	1
93	Spectrogram 1	3	402.538000	402.618000	4000.000000	18000.000000	8000.000000	Trill	10.343304	-33.356842	1
94	Spectrogram 1	3	402.676000	402.750000	4000.000000	18000.000000	8000.000000	Trill	10.659147	-33.710710	1
95	Spectrogram 1	3	402.814000	402.894000	4000.000000	18000.000000	8000.000000	Trill	10.887431	-34.342838	1
96	Spectrogram 1	3	412.948000	412.986000	4000.000000	18000.000000	8000.000000	Trill	13.265904	-38.996845	0
97	Spectrogram 1	3	426.448000	426.552000	4000.000000	18000.000000	8000.000000	Trill	14.159003	-38.478023	0
98	Spectrogram 1	3	427.186000	427.428000	4000.000000	18000.000000	8000.000000	Trillphee	11.477804	-31.861323	1
99	Spectrogram 1	3	428.320000	428.376000	4000.000000	18000.000000	8000.000000	Trill	15.001871	-38.279165	0
100	Spectrogram 1	3	440.812000	440.844000	4000.000000	18000.000000	8000.000000	Trill	15.027246	-38.842203	0
101	Spectrogram 1	3	442.012000	442.062000	4000.000000	18000.000000	8000.000000	Phee	12.884819	-38.156867	0
102	Spectrogram 1	3	450.220000	450.276000	4000.000000	18000.000000	8000.000000	Phee	14.971008	-38.421165	0
103	Spectrogram 1	3	455.932000	456.030000	4000.000000	18000.000000	8000.000000	Trill	9.091889	-37.990449	1
104	Spectrogram 1	3	468.406000	468.474000	4000.000000	18000.000000	8000.000000	Trill	15.420091	-38.585006	0
105	Spectrogram 1	3	492.652000	492.708000	4000.000000	18000.000000	8000.000000	Trill	10.585750	-35.954590	1
106	Spectrogram 1	3	495.166000	495.438000	4000.000000	18000.000000	8000.000000	Trill	15.624705	-34.663438	0
107	Spectrogram 1	3	505.124000	505.156000	4000.000000	18000.000000	8000.000000	Trill	16.158659	-38.857529	0
108	Spectrogram 1	3	505.244000	505.288000	4000.000000	18000.000000	8000.000000	Phee	14.765360	-37.718314	0
109	Spectrogram 1	3	506.066000	506.152000	4000.000000	18000.000000	8000.000000	Trill	17.955734	-38.647674	0
110	Spectrogram 1	3	518.312000	518.500000	4000.000000	18000.000000	8000.000000	Trillphee	12.035655	-31.972079	0
111	Spectrogram 1	3	525.980000	528.352000	4000.000000	18000.000000	8000.000000	Phee	14.005267	-25.068883	0
112	Spectrogram 1	3	533.870000	533.938000	4000.000000	18000.000000	8000.000000	Trill	10.726002	-37.460247	1
113	Spectrogram 1	3	537.266000	537.310000	4000.000000	18000.000000	8000.000000	Trill	10.040918	-37.797540	1
114	Spectrogram 1	3	539.888000	539.944000	4000.000000	18000.000000	8000.000000	Trill	16.560747	-37.902681	0
115	Spectrogram 1	3	539.996000	540.058000	4000.000000	18000.000000	8000.000000	Trill	17.380746	-38.092844	0
116	Spectrogram 1	3	558.614000	558.646000	4000.000000	18000.000000	8000.000000	Phee	16.947717	-38.320736	0
117	Spectrogram 1	3	559.040000	559.078000	4000.000000	18000.000000	8000.000000	Trill	21.108984	-35.927776	0
118	Spectrogram 1	3	563.570000	563.662000	4000.000000	18000.000000	8000.000000	Trill	9.708382	-35.489041	1
119	Spectrogram 1	3	568.688000	568.756000	4000.000000	18000.000000	8000.000000	Trill	10.192716	-37.901927	1
120	Spectrogram 1	3	568.784000	568.870000	4000.000000	18000.000000	8000.000000	Phee	13.841234	-38.599583	0
121	Spectrogram 1	3	571.016000	571.078000	4000.000000	18000.000000	8000.000000	Trill	15.599632	-37.235420	0
122	Spectrogram 1	3	572.336000	572.386000	4000.000000	18000.000000	8000.000000	Phee	16.317918	-36.116213	0
123	Spectrogram 1	3	572.492000	572.524000	4000.000000	18000.000000	8000.000000	Trill	22.151768	-38.673822	0
124	Spectrogram 1	3	588.806000	588.838000	4000.000000	18000.000000	8000.000000	Trill	12.491991	-34.799166	0
125	Spectrogram 1	3	597.248000	597.292000	4000.000000	18000.000000	8000.000000	Phee	13.039074	-37.189732	0
126	Spectrogram 1	3	597.704000	597.772000	4000.000000	18000.000000	8000.000000	Trill	13.959989	-37.259036	0
127	Spectrogram 1	3	621.714000	621.788000	4000.000000	18000.000000	8000.000000	Trill	11.100166	-33.778149	1
128	Spectrogram 1	3	641.490000	641.552000	4000.000000	18000.000000	8000.000000	Trill	11.921131	-36.699261	1
